para_id,source_doc_id,para_index,source_title,human_paragraph,ai_paragraph,generation_success
50066,4009,2,KBS 뉴스 9,"2019년 11월 25일에 시작된 개편에서 앵커가 전면 교체되었다. 새해 첫날(1월 1일, 양력설)은 평일, 주말 관계 없이 평일 앵커가 진행한다. 단 상황에 따라 주말 앵커가 보조로 나오는 경우도 있다.","2019년 11월 25일에 시행된 개편을 통해 앵커 라인업이 전면 교체되었다. 새해 첫날(1월 1일, 양력설)은 평일·주말 구분 없이 평일 앵커가 진행한다. 다만 상황에 따라 주말 앵커가 보조 역할을 수행하기도 있다.",True
50067,4009,3,KBS 뉴스 9,"평일의 경우, 현재 앵커는 2021년 6월 14일부터 기준으로 한다.","평일에 관해서는, 현재 앵커가 2021년 6월 14일부터 적용된다는 기준을 둔다.",True
50068,4009,4,KBS 뉴스 9,"※ 평일의 공휴일도 포함되며, 평일 앵커가 휴가, 출장 시에는 주말 앵커가 대신 진행하나, 뉴스 진행 및 편성 상황에 따라 주말 앵커가 보조 진행하는 경우도 있음.","※ 평일에도 공휴일이 포함되며, 평일 앵커가 휴가·출장 등으로 부재할 경우 주말 앵커가 대신 진행한다. 다만 뉴스 진행 및 편성 상황에 따라 주말 앵커가 보조 진행을 맡는 경우도 있음.",True
50069,4009,5,KBS 뉴스 9,"주말의 경우,현재 앵커는 2021년 6월 19일부터를 기준으로 한다.","주말에 대해서는, 현재 앵커 기준일이 2021년 6월 19일임을 적용한다.",True
50070,4009,6,KBS 뉴스 9,"※ 주말 앵커가 휴가, 출장 시에는 평일 앵커가 대신 진행하나, 뉴스 진행 및 편성 상황에 따라 평일 앵커가 보조 진행하는 경우도 있음.","※ 주말 앵커가 휴가나 출장으로 부재할 경우 평일 앵커가 대신 진행하지만, 뉴스 진행 및 편성 상황에 따라 평일 앵커가 보조 진행하는 경우도 있음.",True
50071,4009,7,KBS 뉴스 9,"동 시간대 지역권 뉴스는 평일은 밤 9시 35분에, 주말은 밤 9시 20분에 방송된다.","동 시간대 지역권 뉴스는 평일에는 밤 9시 35분, 주말에는 밤 9시 20분에 방송된다.",True
50072,4009,8,KBS 뉴스 9,"1992년 만들어진 후, 1993년 10월부터 2018년 12월까지 몇 차례 현대화 작업해왔으나, 2019년 이후 새 시그널 음악인 윤상씨 작곡하였다.","1992년에 구축된 이후, 1993년 10월부터 2018년 12월까지 여러 차례 현대화 작업이 이루어졌으며, 2019년 이후에는 새로운 시그널 음악을 윤상 씨가 작곡하였다.",True
50073,4009,9,KBS 뉴스 9,시청률 조사회사인 TNmS와 닐슨코리아에 따르면 매일 생방송 시청률 10%대 집계한 것이다.,"시청률 조사기관인 TNmS와 닐슨코리아의 데이터에 따르면, 매일 생방송 시청률이 10%대로 집계된 것으로 확인된 것이다.",True
51714,4154,0,온정리 전투,"온정리 전투(溫井里戰鬪)는 한국 전쟁 중기 북한 동부전선에서 국군의 제일 선봉으로 진격하던 김종오 준장이 이끄는 제6사단이 한중 국경선까지 밀고 올라갔다가 비밀리에 압록강을 건넌 중공군에 패한 전투이자, 한국전쟁에서 대한민국 국군이 중공군과 첫 번째로 치른 전투이다.","온정리 전투(溫井里戰鬪)는 한국 전쟁 중기, 북한 동부전선에서 국군의 제1선봉을 맡아 진격하던 김종오 준장이 이끄는 제6사단이 한중 국경까지 밀어올랐다가 비밀리에 압록강을 건넌 중공군에 패한 전투이며, 한국전쟁에서 대한민국 국군이 중공군과 첫 번째로 치른 전투이다.",True
51715,4154,1,온정리 전투,절대적인 수적 열세로 치열한 공방전을 펼쳤던 국군은 온정리를 방어하기 위해 치열한 접전을 펼쳤으나 수적 열세와 다른 전선의 상황으로 인하여 철수하지 않으면 안되는 상황에 처하게 되었다.,"절대적인 수적 열세 속에서 치열한 공방전을 벌이던 국군은 온정리를 방어하기 위해 다시 한 번 격전지를 마련했지만, 지속적인 인원 부족과 타 전선 상황 악화로 인해 최종적으로 철수를 선택하지 않을 수 없는 상황에 처하게 되었다.",True
51716,4154,2,온정리 전투,"온정리는 광복 당시 행정구역상으로는 운산군 위연면이었으며, 온정온천이 있었기 때문에 온정리로 불렸다. 북한 행정구역상으로 운산읍이 위치해 있다.","온정리는 광복 직후 행정구역상 운산군 위연면에 속했으며, 온정온천이 있었기 때문에 온정리라고 불렸다. 현재 북한 행정구역에서는 운산읍 안에 해당 지역이 포함되어 있다.",True
51717,4154,3,온정리 전투,중공군의 한국 전쟁 개입 문제가 국내외적으로 주시되고 있던 1950년 10월 미경에 유재흥 소장이 이끄는 제2군단 예하의 김종오 준장이 이끄는 제6사단은 최선봉에선 진격사단으로서 덕천-구장동 진격 전투에서 승리한 다음 더욱 박차를 가하여 일선연대로 하여금 한만국경에까지 북진을 계속토록 하고 사단은 10월 24일 13:00에 희천에 이르렀다.,"1950년 10월, 중공군의 한국 전쟁 개입이 국내외적으로 주목받던 시기에, 유재흥 소장이 지휘하는 제2군단 소속 김종오 준장의 제6사단은 최전선에서 진격 부대로 활약하였다. 이 부대는 덕천‑구장동 전투에서 승리한 뒤, 일선 연대를 견제하며 한·만 국경까지 북진을 지속하도록 압박하였다. 그 결과 사단은 10월 24일 오후 1시에 희천에 이르렀다.",True
51718,4154,4,온정리 전투,"한편 지휘체제가 마비되고 재편성의 시간적 여유를 얻지 못한 전구내의 북한군은 패잔혼성부대(제1사단, 제6사단, 제42사단 등)로서 극도로 사기가 저하되고 대부분의 전투력이 상실되어 구명회생하기에 급급하였으며 특히 오백용 소장이 이끄는 북한군 제8사단의 잔여 혼성부대는 연대 규모로서 초산 전투에서 최후의 저항을 기도하였으나 김용배 중령이 이끄는 제7연대 1대대의 과감한 진격으로 궤멸 분산됨으로써 드디어 선봉연대인 임부택 대령이 이끄는 제7연대는 10월 26일 14시 15분에 감회어린 국경에 다다랐다.","한편, 지휘 체계가 마비되고 재편성의 여유조차 확보하지 못한 전구 내 북한군은 제1, 제6, 제42 사단 등을 포함한 패잔 혼성 부대로 전락했다. 사기는 급격히 붕괴되고 전투력의 대부분이 소진돼 생존 자체에만 매달리게 되었으며, 특히 오백용 소장이 지휘하던 제8사단의 잔존 혼성 부대는 연대 규모로 초산 전투에서 마지막 저항을 시도했지만, 김용배 중령이 이끄는 제7연대 1대대의 단호한 돌격에 의해 전멸하고 흩어졌다. 결국 선봉을 맡은 임부택 대령이 이끄는 제7연대는 10월 26일 오후 2시 15분, 감회에 젖은 국경에 다다랐다.",True
51719,4154,5,온정리 전투,그러나 비밀리에 압록강을 건넌 중공군이 동림산(1165고지) 일대에서 불의에 그 마각을 드러내고 사단의 전진축선 상에 나타남으로써 전선은 일조에 그 공방양상을 달리하게 되었다.,"비밀리에 압록강을 건넌 중공군이 동림산(1165고지) 지역에서 불의에 그 마각을 드러내어 사단의 전진축선에 모습을 드러냈고, 이로 인해 전선은 일조에 따라 공방 양상이 달리하게 되었다.",True
51720,4154,6,온정리 전투,제2군단 및 제6사단의 작전계획에 따라 10월 24일 온정리를 점령한 함병선 대령이 이끄는 제2연대는 북한군 잔당에 시간적 여유를 주지 않고 신속히 진격하여 압록강 남안의 벽동까지 진출할 계획으로 예하의 송대후 소령이 이끄는 제3대대를 기동대대로서 화력에 중점을 두어 선두에서 차량행군으로 조속히 진격토록 하고 석순천 소령이 이끄는 제1대대와 이성훈 대리 대위가 이끄는 제2대대는 도보로서 잔적을 격멸하면서 후속토록 하여 북진을 계속하려 하였다.,"제2군단·제6사단의 작전계획에 따라 10월 24일 온정리를 점령한 함병선 대령이 지휘하는 제2연대는 북한군 잔당에게 여유를 주지 않고 신속히 진격해 압록강 남안 벽동까지 진출할 방침이다. 예하의 송대후 소령이 이끄는 제3대대는 기동대대로 지정돼 화력에 집중하고, 선두에서 차량행군을 통해 빠른 전진을 담당한다. 한편 석순천 소령이 이끄는 제1대대와 이성훈 대리 대위가 지휘하는 제2대대는 도보로 잔적을 격멸하며 후속 작전을 수행, 북진을 지속하려 한다.",True
51721,4154,7,온정리 전투,그러나 불의에 중공군과 장동 부근(온정 북방 8km)에서 접적하게 되어 치열한 교전을 전개한 끝에 병력의 상대적인 부족과 지형의 제약으로 인하여 할 수 없이 그 주력이 다시 온정리로 이동하게 되었을 때 제6사단장 김종오 준장은 요지 다음과 같은 명령을 하달하였다.,"하지만 불가피하게 중공군과 장동 부근(온정 북쪽 8km)에서 접전하게 되어 격렬한 교전이 이어진 결과, 병력의 상대적 부족과 지형적 제약 때문에 어쩔 수 없이 주력이 다시 온정리로 이동하게 되었을 때, 제6사단장 김종오 준장은 다음과 같이 명령을 하달하였다.",True
51722,4154,8,온정리 전투,이상과 같은 명령을 받은 제2연대는 온정리에서 계속 병력을 수습하여 방어에 임하였으며 제19연대는 급히 출동하여 명시된 지점으로 병력을 이동하고 북한군을 격멸코자 하였으나 각 대대는 계획된 작전에 성공하지 못한 채로 오히려 온정리를 북한군의 수중에 맡기게 되자 제2연대는 즉시 태평으로 이동하여 재편성 한 다음 반격을 가하려 하다가 군단의 청천강선 방어 계획에 따라 개천으로 이동하였으며 제19연대는 최후까지 온정리를 고수하려 하였으나 역시 군단의 계획에 따라 개천으로 이동하였다.,"제2연대는 온정리에서 지속적으로 병력을 정비하여 방어에 임하였으며, 제19연대는 급히 출동해 지정된 지점으로 병력을 이동시켜 북한군을 격멸하고자 하였으나 각 대대는 계획된 작전을 성공시키지 못하고 오히려 온정리를 북한군에게 내어주게 되었다. 이에 제2연대는 즉시 태평으로 이동해 재편성을 마친 후 반격을 시도하려 하였으나, 군단의 청천강선 방어 계획에 따라 개천으로 이동하였으며, 제19연대는 최후까지 온정리를 고수하려 하였으나 역시 군단의 방침에 따라 개천으로 이동하였다.",True
51723,4154,9,온정리 전투,제6사단 2연대는 함병선 대령이 지휘하여 이날 08:00에 구장동을 출발하였는데 제1대대를 선두로 하여 제3대대-제2대대의 순으로 태평을 경유하여 온정리로 향하였다.,"제6사단 2연대는 함병선 대령이 지휘하고, 이날 08:00에 구장동을 출발했으며, 제1대대를 선두로 삼아 제3대대와 제2대대를 차례로 이어 태평을 경유해 온정리로 향하였다.",True
51724,4154,10,온정리 전투,선두의 제1대대가 이날 18:00에 온정리부근에 다다랐을 때 그곳 동북방 6km 지점인 559고지 일대에서 북한군 2개 중대의 패잔병으로부터 사격을 받고 즉시 진격하여 이를 격퇴한 다음 19:40에 온정리로 돌입하여 자체경계를 하면서 숙영하였으며 제3대대는 이보다 먼저 19:00에 온정리에 돌입하여 북한군의 잔당을 격퇴하고 내무서를 급격한 끝에 각종 서류를 노획하였다.,"선두의 제1대대가 18:00에 온정리 부근에 도착했을 때, 동북쪽 6 km 지점인 559고지 일대에서 북한군 2개 중대의 남은 병력으로부터 사격을 받았다. 즉시 전진해 적을 격퇴한 뒤 19:40에 온정리로 진입해 자체 경계를 유지하며 숙영하였으며, 제3대대는 이보다 앞서 19:00에 온정리로 들어가 북한군 잔당을 물리치고 내무서를 급격히 장악하여 각종 서류를 확보하였다.",True
51725,4154,11,온정리 전투,이때 국군의 진출 상황을 알지 못한 북한군의 유선망을 도청함으로써 비로소 중공군 출현에 대한 첩보를 얻게 되었으며 대대는 곧 이를 보고하는 한편 온정리 후사면의 326고지 일대를 점령하고 경계에 임하였다.,"당시 국군의 전진 상황을 알지 못한 북한군의 유선망을 도청함으로써 비로소 중공군 출현에 대한 정보를 확보했으며, 대대는 곧 이를 보고하고 온정리 후사면에 있는 326고지 일대를 점령한 뒤 경계에 임하였다.",True
51726,4154,12,온정리 전투,"제2연대는 전날 전 연대가 온정리에 집결하여 숙영을 하고, 이날 아침에 전열을 갖추어 출동준비를 한 다음, 이성훈 대위가 지휘하는 제2대대를 선두로 09:00에 온정리를 출발하여 우선 북진으로 향하도록 하였으며, 제1대대는 제2대대의 뒤를 이어 도보로서 11:00에 온정리를 출발하였고 제3대대는 야포 및 대전차포로 증강한 기동대대로서 차량화하여 11:00에 출발하게 되었다.","제2연대는 전날 전 연대가 온정리에 집결해 숙영을 마치고, 이날 아침에 전열을 갖추고 출동 준비를 한 다음, 이성훈 대위가 지휘하는 제2대대를 선두로 09:00에 온정리를 출발시켜 우선 북진으로 향하도록 하였으며, 제1대대는 제2대대의 뒤를 따라 도보로 11:00에 온정리를 출발하였고, 제3대대는 야포와 대전차포를 증강한 기동대대로 차량화해 11:00에 출발하게 되었다.",True
51727,4154,13,온정리 전투,이리하여 12:00에는 기동성 있는 제3대대가 선두가 되어 온정리 북방 약 7km 지점인 장동 부근에 진출하였고 제 2대대는 그 뒤를 따라 490고지 하록인 중흥동에 다다랐으며 후미인 제1대대의 주력은 온정북방 약 3km 지점인 개활지대에 뻗쳐있는 도로를 통과하고 있었다.,"이리하여 12:00에는 기동성 있는 제3대대가 선두로 떠들며 온정리 북방 약 7km 지점인 장동 부근에 진출했으며, 제 2대대는 그 뒤를 잇고 490고지 하록인 중흥동에 도달했으며, 후미인 제1대대의 주력은 온정북방 약 3km 지점인 개활지대에 뻗쳐있는 도로를 통과하고 있었다.",True
51728,4154,14,온정리 전투,이때에 중공군은 지형의 이점을 최대한으로 이용하여 미리 병력을 은밀히 배치하여 놓고 잠복대기토록 하다가 제2연대의 주력이 12:00에 이 지점을 통과하게 되자 일제히 화력을 집중하면서 포위 공격을 가하게 되었다.,이때에 중공군은 지형의 이점을 최대한 활용하여 병력을 은밀히 배치하고 잠복상태를 유지하다가 제2연대 주력이 12:00에 이 지점을 통과하자 일제히 화력을 집중해 포위공격을 가하게 되었다.,True
51729,4154,15,온정리 전투,즉 연대 정면의 사단 규모의 병력으로 추산되는 중공군은 동림산(1165고지)를 배후로 도로변의 대소능선 상에 그 주력을 매복시켰으며 온정과 북진 사이를 흐르는 구룡강을 건너 도리산(841고지) 일대의 주요 거점에 연대 규모의 병력을 매복시켰다가 좌우 동시에 기습전법을 감행하게 된 것이다.,"즉, 연대 규모의 병력을 보유한 중공군은 동림산(1165) 고지 뒤에서 도로변의 대소능선에 주력을 매복했으며, 온정·북진 사이를 흐르는 구룡강을 건너 도리산(841) 일대 주요 거점에도 연대 규모 병력을 배치해 좌우 동시에 기습전법을 감행하게 된 것이다.",True
51730,4154,16,온정리 전투,"이때 제6사단의 2연대장인 함병선 대령은 이 당면의 추로를 격멸하는 즉시로 계속 진출하기 위하여 각 대대로 하여금 정신감투토록 격려질타 하였으나, 시체의 언덕을 만들면서도 계속되는 중공군의 반복공격과 유리한 지형을 이용한 중공군의 사면포위로 전황은 시시각각으로 불리하여 지고 있었다.","이때 제6사단의 2연대장인 함병선 대령은 현재 상황의 당면 과제들을 한 번에 격파하고 남은 진격을 유지하기 위해 각 부대에 정신적 고양을 장려하도록 지시하고 하였으나, 시체의 언덕을 구축하며 중공군의 지속적인 반복공격과 유리한 지형을 이용한 사면포위에 시시각각 전황이 불리하게 변해 지고 있었다.",True
51731,4154,17,온정리 전투,이와 같이 모든 전황이 급변하게 되자 사단에서는 제2연대로 하여금 온정리에서 계속 진지를 고수토록 하고 예비대인 박광혁 대령이 이끄는 제19연대를 급거 부접토록 배치하였다.,"이와 같은 급변한 전황 속에서 사단은 제2연대를 온정리에서 계속 진지를 고수토록 하고, 예비대인 박광혁 대령이 이끄는 제19연대를 급거 부접토록 배치하였다.",True
51732,4154,18,온정리 전투,"제2연대의 1대대는 전날에 이어 온정리에서 철야로 고수방어에 임하고 있었으며 제3대대는 온정중학교에서 계속 병력을 집결하는 동시에, 일부 집결된 병력과 장비를 연대 직활대와 합동으로 온정리의 후사면에 있는 157고지로 이동시켜 사주방어에 임하였으나 중공군은 우세한 병력을 믿고 그들의 상투수단인 우회와 포위전법을 감행하기 위하여 이날 초경부터 구룡천을 잠도한 다음 온정 동남방 약 4km 지점인 535고지의 좌전방으로 이동시켜 온정리를 사면으로 포위하였다가 이날 04:00부터 일시에 함성과 총포성으로 기세당당하게 공격하기 시작하였다.","제2연대 1대대는 전날의 연속으로 온정리에서 철야 고수방어를 수행하고 있었으며, 제3대대는 온정중학교에서 병력을 지속적으로 집결 중이었습니다. 동시에 일부 병력과 장비를 연대 직활대와 합동해 온정리 후사면의 157고지로 이동시켜 사주방어를 개시했으나, 중공군은 우세한 병력에 자신을 보아 그들의 상투 전술인 우회와 포위법을 실행하기로 결정했습니다. 이들은 이날 초경부터 구룡천을 잠지하고, 온정 동남쪽 약 4km 지점인 535고지의 좌전방으로 이동해 온정리를 사면으로 포위한 뒤, 이날 오전 04:00부터 일시에 함성과 총포성으로 기세당당하게 공격하기 시작하였다.",True
51733,4154,19,온정리 전투,1:5의 열세와 우세의 정면대결로 피아간에 치열한 교전을 치른 끝에 157고지의 국군 진지일각이 무너지게 되고 계속하여 온정중학교가 기습을 당하자 때마침 집결 중이던 제3대대가 이 광란 속에 휘말려 들어가 암흑 속에서 혼란상태를 이루게 되었으며 중공군의 후속병력은 이틈을 타서 사면으로 온정리를 침공하기 시작하였다.,"1:5의 열세와 우세가 정면대결을 펼치며 피아간에서 치열한 교전이 진행된 끝에 157고지의 국군 진지 일각이 무너지게 되고, 이어 온정중학교가 기습을 당하자, 그때 집결 중이던 제3대대는 이 광란에 휘말려 암흑 속에서 혼란상태를 이루게 되었으며, 중공군의 후속 병력은 이틈을 타서 사면으로 온정리 침공을 시작하였다.",True
51734,4154,20,온정리 전투,이와 같은 상황 속에서도 제 1대대의 모든 장병들은 총검과 단도로서 육박전을 전개하며 끝까지 결사분투 하였으나 중과부적으로 일부병력이 분산상태에 빠지게 되자 부득이 적의 추격을 저지하면서 연대의 주력 제1대대 및 연대본부는 내평의 향교동 방면으로 철수하였으며 제3대대의 일부 병력은 희천 방면으로 이동하였다.,"이러한 상황에서도 제 1대대의 전 장병들은 총검과 단도로 육박전을 전개하며 끝까지 결사분투 하였으나 과도한 부하로 인해 일부 병력은 분산상태에 빠지게 되었고, 부득이 적의 추격을 저지하게 되면서 연대의 주력인 제 1대대와 연대본부는 내평의 향교동 방면으로 철수하였으며, 제 3대대의 일부 병력은 희천 방면으로 이동하였다.",True
51735,4154,21,온정리 전투,이와 동시에 490고지에서 철야 방어하고 있던 제2대대는 연대의 주력이 태평으로 이동함으로 말미암아 중공군의 포위에 고립되어 사면의 중공군으로부터 압박을 받아 위험한 상태에 놓이게 되자 05:00에 진지를 돌파분단하고 구룡천을 건너 운산 방면으로 철수하게 되었다.,"이와 동시에 490고지에서 철야 방어를 수행하던 제2대대는 연대의 주력이 태평으로 이동함에 따라 중공군의 포위에 고립되어 사면 공군으로부터 압박을 받아 위험한 상태에 놓이게 된 뒤, 05:00에 진지를 돌파하여 분단하고 구룡천을 건너 운산 방면으로 철수하게 되었다.",True
51736,4154,22,온정리 전투,"제2연대는 태평으로 이동한 다음 제 1대대를 사주경계토록 하는 한편 전날 희천 방면으로 이동한 제3대대를 신속히 태평으로 집결토록 배치하였다. 연대장 함병선 대령의 명을 받은 제3대대는 희천에서 병력을 수습하는 즉시로 태평으로 하여 진격하다가 묘향산에서 노영을 하였으며, 제2대대는 서쪽으로 30여km 떨어진 운산부근의 용전리에 18:00에 도착하여 잔여 병력을 집결시키고 있었다.","제2연대는 태평으로 이동한 후 제1대대를 사주경계에 배치하고, 전날 희천으로 이동하던 제3대대를 신속히 태평으로 집결시켜 배치하였다. 연대장 함병선 대령의 명령을 받은 제3대대는 희천에서 병력을 수습하자마자 태평으로 진격했다가 묘향산에서 노영을 실시했고, 제2대대는 서쪽으로 약 30km 거리의 운산부근 용전리에 18:00에 도착해 잔여 병력을 집결시키고 있었다.",True
